(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 389/541 | loss=60.9435
  batch 390/541 | loss=60.7965
  batch 391/541 | loss=60.6503
  batch 392/541 | loss=60.5052
  batch 393/541 | loss=60.3600
  batch 394/541 | loss=60.2164
  batch 395/541 | loss=60.0733
  batch 396/541 | loss=59.9308
  batch 397/541 | loss=59.7883
  batch 398/541 | loss=59.6466
  batch 399/541 | loss=59.5055
  batch 400/541 | loss=59.3649
  batch 401/541 | loss=59.2249
  batch 402/541 | loss=59.0863
  batch 403/541 | loss=58.9481
  batch 404/541 | loss=58.8107
  batch 405/541 | loss=58.6735
  batch 406/541 | loss=58.5371
  batch 407/541 | loss=58.4014
  batch 408/541 | loss=58.2664
  batch 409/541 | loss=58.1323
  batch 410/541 | loss=57.9988
  batch 411/541 | loss=57.8656
  batch 412/541 | loss=57.7333
  batch 413/541 | loss=57.6013
  batch 414/541 | loss=57.4699
  batch 415/541 | loss=57.3395
  batch 416/541 | loss=57.2093
  batch 417/541 | loss=57.0798
  batch 418/541 | loss=56.9510
  batch 419/541 | loss=56.8228
  batch 420/541 | loss=56.6959
  batch 421/541 | loss=56.5691
  batch 422/541 | loss=56.4429
  batch 423/541 | loss=56.3171
  batch 424/541 | loss=56.1919
  batch 425/541 | loss=56.0672
  batch 426/541 | loss=55.9434
  batch 427/541 | loss=55.8200
  batch 428/541 | loss=55.6975
  batch 429/541 | loss=55.5759
  batch 430/541 | loss=55.4548
  batch 431/541 | loss=55.3348
  batch 432/541 | loss=55.2151
  batch 433/541 | loss=55.0957
  batch 434/541 | loss=54.9763
  batch 435/541 | loss=54.8577
  batch 436/541 | loss=54.7403
  batch 437/541 | loss=54.6241
  batch 438/541 | loss=54.5082
  batch 439/541 | loss=54.3915
  batch 440/541 | loss=54.2757
  batch 441/541 | loss=54.1602
  batch 442/541 | loss=54.0451
  batch 443/541 | loss=53.9310
  batch 444/541 | loss=53.8181
  batch 445/541 | loss=53.7051
  batch 446/541 | loss=53.5923
  batch 447/541 | loss=53.4797
  batch 448/541 | loss=53.3679
  batch 449/541 | loss=53.2568
  batch 450/541 | loss=53.1456
  batch 451/541 | loss=53.0345
  batch 452/541 | loss=52.9245
  batch 453/541 | loss=52.8149
  batch 454/541 | loss=52.7055
  batch 455/541 | loss=52.5967
  batch 456/541 | loss=52.4887
  batch 457/541 | loss=52.3809
  batch 458/541 | loss=52.2739
  batch 459/541 | loss=52.1677
  batch 460/541 | loss=52.0610
  batch 461/541 | loss=51.9551
  batch 462/541 | loss=51.8499
  batch 463/541 | loss=51.7476
  batch 464/541 | loss=51.6432
  batch 465/541 | loss=51.5393
  batch 466/541 | loss=51.4357
  batch 467/541 | loss=51.3324
  batch 468/541 | loss=51.2296
  batch 469/541 | loss=51.1275
  batch 470/541 | loss=51.0255
  batch 471/541 | loss=50.9243
  batch 472/541 | loss=50.8235
  batch 473/541 | loss=50.7232
  batch 474/541 | loss=50.6228
  batch 475/541 | loss=50.5226
  batch 476/541 | loss=50.4230
  batch 477/541 | loss=50.3240
  batch 478/541 | loss=50.2253
  batch 479/541 | loss=50.1274
  batch 480/541 | loss=50.0297
  batch 481/541 | loss=49.9328
  batch 482/541 | loss=49.8359
  batch 483/541 | loss=49.7395
  batch 484/541 | loss=49.6439
  batch 485/541 | loss=49.5482
  batch 486/541 | loss=49.4528
  batch 487/541 | loss=49.3576
  batch 488/541 | loss=49.2629
  batch 489/541 | loss=49.1685
  batch 490/541 | loss=49.0747
  batch 491/541 | loss=48.9812
  batch 492/541 | loss=48.8878
  batch 493/541 | loss=48.7951
  batch 494/541 | loss=48.7026
  batch 495/541 | loss=48.6105
  batch 496/541 | loss=48.5189
  batch 497/541 | loss=48.4274
  batch 498/541 | loss=48.3370
  batch 499/541 | loss=48.2465
  batch 500/541 | loss=48.1562
  batch 501/541 | loss=48.0665
  batch 502/541 | loss=47.9773
  batch 503/541 | loss=47.8884
  batch 504/541 | loss=47.7997
  batch 505/541 | loss=47.7115
  batch 506/541 | loss=47.6236
  batch 507/541 | loss=47.5361
  batch 508/541 | loss=47.4494
  batch 509/541 | loss=47.3626
  batch 510/541 | loss=47.2765
  batch 511/541 | loss=47.1903
  batch 512/541 | loss=47.1047
  batch 513/541 | loss=47.0198
  batch 514/541 | loss=46.9349
  batch 515/541 | loss=46.8505
  batch 516/541 | loss=46.7664
  batch 517/541 | loss=46.6821
  batch 518/541 | loss=46.5987
  batch 519/541 | loss=46.5158
  batch 520/541 | loss=46.4329
  batch 521/541 | loss=46.3503
  batch 522/541 | loss=46.2679
  batch 523/541 | loss=46.1862
  batch 524/541 | loss=46.1043
  batch 525/541 | loss=46.0226
  batch 526/541 | loss=45.9410
